ID_Sesion,NivelEstudiante,Disciplina,FechaSesion,DuracionMinutos,TotalIndicaciones,TipoTarea,NivelAsistenciaIA,ResultadoFinal,UsadoNuevamente,CalificacionSatisfaccion
SESSION00001,Universitario,Ciencias de la Computación,2024-11-03,31.2,11,Estudio,2,Tarea Completada,True,1.0
SESSION00002,Universitario,Negocios,2024-08-25,13.09,6,Estudio,3,Tarea Completada,True,2.0
SESSION00000,Universitario,Negocios,2025-01-12,19.22,5,Programación,3,Tarea Completada,True,3.3
SESSION00004,Universitario,Ciencias de la Computación,2025-05-06,3.7,1,Programación,3,Idea Rezagada,True,3.5
SESSION00005,Universitario,Psicología,2025-03-18,28.12,9,Redacción,3,Tarea Completada,True,2.9
SESSION00006,Graduado,Negocios,2025-01-17,7.54,1,Programación,5,Idea Rezagada,True,5.0
SESSION00007,Preparatoria,Biología,2024-09-07,14.6,3,Redacción,3,Tarea Completada,True,1.9
SESSION00009,Universitario,Negocios,2025-06-18,8.15,1,Lluvia de Ideas,3,Tarea Completada,True,3.3
SESSION00010,Universitario,Matemáticas,2025-04-14,5.57,1,Estudio,3,Tarea Completada,True,1.4
SESSION00011,Preparatoria,Matemáticas,2025-02-24,24.52,6,Redacción,2,Tarea Completada,True,1.9
SESSION00012,Universitario,Psicología,2024-11-07,11.51,5,Programación,3,Tarea Completada,True,3.9
SESSION00013,Universitario,Historia,2024-07-05,17.28,6,Estudio,5,Idea Rezagada,True,4.2
SESSION00014,Universitario,Negocios,2024-11-03,24.13,5,Redacción,4,Idea Rezagada,True,3.7
SESSION00015,Preparatoria,Ciencias de la Computación,2025-06-21,22.51,8,Redacción,3,Tarea Completada,True,4.7
SESSION00016,Preparatoria,Psicología,2024-11-22,22.16,6,Programación,2,Idea Rezagada,True,3.7
SESSION00017,Universitario,Negocios,2025-04-27,6.46,2,Redacción,5,Confundido,True,5.0
SESSION00019,Universitario,Matemáticas,2024-12-08,18.26,4,Estudio,5,Tarea Completada,True,4.9
SESSION00020,Preparatoria,Ingeniería,2024-08-03,19.36,6,Estudio,4,Tarea Completada,True,3.5
SESSION00021,Universitario,Ingeniería,2025-05-03,19.99,11,Lluvia de Ideas,3,Idea Rezagada,True,4.4
SESSION00022,Universitario,Negocios,2025-01-09,11.11,2,Ayuda con Tareas,5,Tarea Completada,True,4.9
SESSION00023,Universitario,Biología,2025-04-21,19.87,8,Estudio,2,Idea Rezagada,True,3.1
SESSION00024,Universitario,Matemáticas,2025-05-05,21.54,4,Programación,3,Gave Up,True,3.6
SESSION00025,Graduado,Psicología,2024-11-27,8.1,3,Ayuda con Tareas,5,Idea Rezagada,True,4.3
SESSION00026,Universitario,Biología,2024-09-14,11.86,2,Redacción,2,Idea Rezagada,True,3.2
SESSION00027,Universitario,Historia,2024-08-28,6.42,2,Ayuda con Tareas,4,Idea Rezagada,True,4.0
SESSION00029,Universitario,Psicología,2025-02-20,27.28,6,Estudio,2,Idea Rezagada,True,3.4
SESSION00030,Universitario,Ingeniería,2024-08-11,5.03,2,Estudio,3,Confundido,True,2.5
SESSION00031,Preparatoria,Biología,2024-12-28,23.79,6,Estudio,3,Gave Up,True,2.4
SESSION00034,Universitario,Negocios,2025-04-10,10.59,4,Redacción,3,Gave Up,True,3.9
SESSION00035,Graduado,Matemáticas,2025-03-21,25.1,7,Programación,4,Confundido,True,4.3
SESSION00036,Universitario,Biología,2024-07-19,5.76,1,Redacción,1,Confundido,True,1.2
SESSION00037,Graduado,Ingeniería,2025-04-09,33.79,8,Redacción,2,Tarea Completada,True,1.6
SESSION00038,Universitario,Psicología,2024-09-20,13.64,5,Redacción,2,Tarea Completada,True,2.6
SESSION00039,Universitario,Biología,2025-05-14,2.48,1,Estudio,2,Idea Rezagada,True,2.2
SESSION00040,Graduado,Ingeniería,2025-03-06,11.77,3,Programación,4,Tarea Completada,True,4.4
SESSION00041,Universitario,Ciencias de la Computación,2025-06-21,33.29,15,Redacción,2,Idea Rezagada,True,1.7
SESSION00044,Universitario,Psicología,2025-04-25,4.54,1,Redacción,5,Confundido,True,4.6
SESSION00045,Universitario,Biología,2025-01-26,15.08,3,Redacción,4,Tarea Completada,True,4.8
SESSION00046,Preparatoria,Matemáticas,2025-03-27,42.91,6,Redacción,3,Tarea Completada,True,1.4
SESSION00047,Preparatoria,Ingeniería,2024-12-18,46.11,12,Ayuda con Tareas,4,Tarea Completada,True,3.4
SESSION00048,Universitario,Biología,2024-11-21,3.56,4,Investigación,2,Confundido,True,1.4
SESSION00049,Graduado,Ingeniería,2024-10-27,16.9,6,Estudio,3,Tarea Completada,True,3.7
SESSION00050,Graduado,Historia,2025-02-28,28.49,5,Redacción,5,Tarea Completada,True,5.0
SESSION00051,Universitario,Psicología,2024-11-14,13.43,3,Estudio,2,Idea Rezagada,True,2.3
SESSION00053,Universitario,Biología,2025-06-08,7.98,1,Investigación,4,Idea Rezagada,True,4.2
SESSION00054,Preparatoria,Biología,2024-07-10,15.52,3,Redacción,5,Tarea Completada,True,5.0
SESSION00055,Universitario,Psicología,2024-07-08,6.98,2,Programación,2,Idea Rezagada,True,2.8
SESSION00056,Universitario,Ingeniería,2024-12-16,6.25,2,Programación,3,Tarea Completada,True,5.0
SESSION00057,Preparatoria,Ingeniería,2024-09-05,58.92,19,Ayuda con Tareas,4,Tarea Completada,True,3.9
SESSION00058,Universitario,Biología,2024-06-25,9.56,4,Programación,3,Tarea Completada,True,4.9
SESSION00059,Preparatoria,Negocios,2025-01-31,31.58,3,Estudio,4,Idea Rezagada,True,4.6
SESSION00060,Graduado,Psicología,2024-08-01,2.38,1,Estudio,5,Tarea Completada,True,4.5
SESSION00062,Universitario,Matemáticas,2025-03-09,14.78,7,Programación,3,Tarea Completada,True,2.5
SESSION00063,Universitario,Ciencias de la Computación,2025-06-21,10.6,2,Programación,2,Tarea Completada,True,1.7
SESSION00064,Universitario,Negocios,2024-11-15,29.06,1,Ayuda con Tareas,4,Tarea Completada,True,3.9
SESSION00065,Preparatoria,Psicología,2025-03-02,12.2,2,Lluvia de Ideas,4,Idea Rezagada,True,4.4
SESSION00066,Universitario,Ingeniería,2024-11-02,8.89,3,Programación,3,Tarea Completada,True,2.7
SESSION00067,Universitario,Ciencias de la Computación,2024-12-02,6.84,1,Estudio,3,Idea Rezagada,True,2.5
SESSION00068,Universitario,Negocios,2025-04-11,12.79,2,Programación,3,Tarea Completada,True,3.8
SESSION00071,Universitario,Ingeniería,2024-10-24,10.4,3,Estudio,4,Idea Rezagada,True,5.0
SESSION00072,Universitario,Negocios,2025-05-24,11.04,5,Programación,3,Confundido,True,2.3
SESSION00073,Universitario,Matemáticas,2024-12-20,5.3,1,Programación,3,Tarea Completada,True,2.3
SESSION00074,Preparatoria,Ingeniería,2024-07-27,14.02,4,Estudio,4,Confundido,True,4.4
SESSION00076,Graduado,Biología,2024-10-06,13.4,6,Estudio,4,Tarea Completada,True,5.0
SESSION00077,Universitario,Ingeniería,2024-07-31,26.8,8,Redacción,3,Idea Rezagada,True,2.5
SESSION00078,Universitario,Historia,2025-02-09,7.29,1,Programación,5,Tarea Completada,True,5.0
SESSION00079,Graduado,Negocios,2025-01-12,48.37,20,Ayuda con Tareas,3,Tarea Completada,True,3.2
SESSION00080,Universitario,Historia,2025-01-28,37.05,13,Programación,2,Idea Rezagada,True,1.8
SESSION00081,Universitario,Historia,2025-04-17,15.94,6,Ayuda con Tareas,3,Tarea Completada,True,4.3
SESSION00082,Universitario,Ciencias de la Computación,2024-08-08,16.95,4,Estudio,4,Tarea Completada,True,4.2
SESSION00083,Universitario,Matemáticas,2025-02-09,19.56,7,Lluvia de Ideas,5,Confundido,True,5.0
SESSION00084,Graduado,Negocios,2024-08-15,11.48,9,Ayuda con Tareas,3,Idea Rezagada,True,2.5
